loops.thisTrialN,loops.stepSize,loops.intensity,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,corrAns,tilt,key_resp.corr,loops.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
83,0.5,1.0,124.47417379985563,124.97476339992136,124.95835669990629,124.95835669990629,125.25809470005333,left,-1.0,0,0,0.47047509998083115,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
84,0.5,1.5,125.45804820000194,125.95780489989556,125.95780489989556,125.95780489989556,126.25805479986593,left,-1.5,1,1,0.5669092000462115,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
85,0.5,1.5,126.54127479996532,127.04076469992287,127.04076469992287,127.04076469992287,127.34133079997264,right,1.5,1,1,0.5745209001470357,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
86,0.5,1.5,127.65636939997785,128.15777539997362,128.14077090006322,128.14077090006322,128.4409536998719,right,1.5,1,1,0.5896687998902053,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
87,0.5,1.0,128.7572071000468,129.25739889987744,129.25739889987744,129.25739889987744,129.5578308000695,right,1.0,1,1,0.5561963999643922,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
88,0.5,1.0,129.84050010005012,130.34082049992867,130.32387900003232,130.32387900003232,130.62413650006056,left,-1.0,0,0,1.294192099943757,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
89,0.5,1.5,131.64085359987803,132.14094990002923,132.14094990002923,132.14094990002923,132.440870200051,left,-1.5,0,0,0.5342056998051703,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
90,0.5,2.0,132.7071851999499,133.20754650002345,133.20754650002345,133.20754650002345,133.50729779992253,left,-2.0,0,0,0.5599971998017281,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
91,0.5,2.5,133.79075090005063,134.29054070007987,134.29054070007987,134.29054070007987,134.59086459991522,right,2.5,1,1,0.6957483999431133,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
92,0.5,2.5,135.0073068998754,135.50709829991683,135.49052140000276,135.49052140000276,135.7906418000348,left,-2.5,1,1,0.5342431999742985,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
93,0.5,2.5,136.0574516998604,136.55713850003667,136.54082069988362,136.54082069988362,136.84054269990884,right,2.5,1,1,0.5671369999181479,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
